Description Attack Health Strength Agility Intelligence
Abaddon 6 37 3 9 38
Alchemist 6 28 32 12 47
Axe 20 16 31 39 30
Beastmaster 6 29 27 2 11
Brewmaster 37 39 41 12 31
Bristleback 16 34 12 43 25
Centaur 40 38 31 41 50
Chaos 11 25 29 9 13
Clockwerk 33 23 21 16 30
Doom 42 9 48 7 35
Dragon 5 47 16 2 50
Earth 3 13 48 20 12
Earthshaker 34 17 5 45 48
Elder 2 33 41 42 42
Huskar 30 14 34 37 28
Io 36 30 44 8 37
Kunkka 35 3 36 13 44
Legion 6 14 45 50 15
Lifestealer 36 37 2 23 29
Lycan 5 41 48 27 34
Magnus 45 28 26 22 32
Night 22 6 24 33 14
Omniknight 6 21 46 4 29
Phoenix 11 43 2 14 16
Pudge 13 41 6 19 48
Sandking 23 6 46 4 18
Slardar 39 27 45 2 16
Spiritbreaker 34 19 5 38 26
Sven 29 11 24 4 4
Tidehunter 50 48 37 30 37
Timbersaw 32 43 5 14 43
Tiny 33 3 43 10 38
Treant 31 41 32 19 17
Tusk 33 4 9 21 11
Underlord 38 10 30 17 7
Undying 30 42 33 14 1
Vengeful 4 35 34 26 17
Venomancer 17 8 46 46 30
Viper 26 33 34 8 6
Weaver 33 11 9 14 48
