Description Size Speed Range Firepower Cargo
Avenger 6 37 3 9 38
Beacon 6 28 32 12 47
Constellation 20 16 31 39 30
Deathray 6 29 27 2 11
Earthshaker 37 39 41 12 31
Firefly 16 34 12 43 25
Gunner 40 38 31 41 50
Hitman 11 25 29 9 13
Incubator 33 23 21 16 30
Juggernaut 42 9 48 7 35
Kaizen 5 47 16 2 50
Lightsprinter 3 13 48 20 12
Monoray 34 17 5 45 48
Nullifier 2 33 41 42 42
Opressor 30 14 34 37 28
Paragon 36 30 44 8 37
Q1 35 3 36 13 44
Runner 6 14 45 50 15
Stalker 36 37 2 23 29
Transporter 5 41 48 27 34
Undying 45 28 26 22 32
Voyager 22 6 24 33 14
Winner 6 21 46 4 29
X-jet 11 43 2 14 16
Yak 13 41 6 19 48
Zebu 23 6 46 4 18
Alpha 39 27 45 2 16
Blaster 34 19 5 38 26
Carrier 29 11 24 4 4
Doomsday 50 48 37 30 37
Explorer 32 43 5 14 43
Fleethead 33 3 43 10 38
Governor 31 41 32 19 17
Hex 33 4 9 21 11
Inception 38 10 30 17 7
Justice 30 42 33 14 1
Krimson 4 35 34 26 17
Lionheart 17 8 46 46 30
Majesty 26 33 34 8 6
480Twin 33 11 9 14 48
