Description Attack Armour Strength Agility Intelligence
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
a 1 2 3 4 5
